Marca,Nome do Produto,EAN,Preço com Desconto,Preço sem Desconto,Valor do Desconto
ARESE,Pazine 315mg com 30 Comprimidos - Arese,7899824400546,71.86,79.84,7.98
UNIAO QUIMICA GENERICO,FosfatoSódico de Prednisolona 3mg 120ml - União Química Genérico,7896006201892,23.26,31.46,8.2
ACHE RX,Pant Solução Capilar 50ml Refil - Ache,7896658034978,54.63,63.52,8.89
USK RX,Capy 50mg Uso Capilar 50ml - Germed,7896004758480,62.94,69.93,6.99
NEO QUIMICA GENERICO,"Cloridrato de Fenilefrina + Maleato Bronfeniramina 0,4+1mg/ml 120ml - Neo Química Genérico",7896714293387,26.7,26.7,0.0
EMS GENERICO,Cloridrato de Fuoxetina 20mg com 30 Cápsulas - EMS Genérico,7896004744360,13.21,61.95,48.74
PRATI DONADUZZI GENERICO,Lamotrigina 100mg com 30 Comprimidos - PratiDonaduzzi Genérico,7899547509571,17.53,67.8,50.27
LEGRAND GENERICO,Acetilcisteína Xarope Infantil 120ml - Legrand Genérico,7894916143400,27.08,32.43,5.35
LIBBS,Belamy Gel Hidratante Vaginal 20g + 8 Aplicadores,7896094210127,93.99,93.99,0.0
SUPERA,Roxetin XR 25mg com 30 Comprimidos - Supera,7896676435597,120.66,144.58,23.92
PRATI DONADUZZI GENERICO,Furosemida 40mg com 20 Comprimidos - PratiDonaduzzi Genérico,7899547504521,5.04,7.23,2.19
CIMED,Glimepirida 2mg com 30 Comprimidos - Cimed Genérico,7896523210926,5.43,33.09,27.66
NOVA QUIMICA GENERICO,Propionato de Clobetasol Pomada 30g - Nova Química Genérico,7895296210423,17.7,27.4,9.7
APSEN,Alois Duo 10mg/5mg com 7 Comprimidos - Apsen,7896637033855,0,0,0
APSEN,Alois Duo 10mg/20mg com 30 Comprimidos - Apsen,7896637031776,185.28,217.98,32.7
APSEN,Probid - 30 cápsulas,7896637032209,82.51,104.9,22.39
PHARLAB,Mirtazapina 30mg com 30 Comprimidos Orodispersíveis - Pharlab Genérico,7898216372249,62.79,203.15,140.36
APSEN,Probians - 30 cápsulas,7896637032223,82.58,107.9,25.32
APSEN,Probid - 15 Cápsulas,7896637032216,48.26,83.99,35.73
APSEN,Lactosil Flora - 8 Cápsulas,7896637032261,22.9,38.9,16.0
APSEN,Lactosil Flora - 30 Cápsulas,7896637032247,57.9,122.9,65.0
MOMENTA,Ducox 200mg com 10 Cápsulas - Momenta,7891317014728,38.49,44.75,6.26
CELLERA,Culturelle Probiótico - 10 cápsulas,7893454714806,68.64,77.9,9.26
CELLERA,Culturelle Probiótico com 30 Cápsulas - Cellera,7893454714813,177.23,192.9,15.67
CELLERA,Culturelle Probiótico Júnior - 10 Comprimidos Mastigáveis,7893454714745,58.17,66.9,8.73
MOMENTA,Ducox 200mg com 30 Cápsulas - Momenta,7891317014711,101.99,118.59,16.6
PRATI DONADUZZI,Elatium 24mg - 30 cápsulas,7899547532197,158.45,176.06,17.61
PRATI DONADUZZI,Elatium 8mg com 30 Cápsulas - PratiDonaduzzi,7899547532104,103.22,114.69,11.47
PRATI DONADUZZI,Perlid 1mg com 30 Comprimidos - PratiDonaduzzi,7899547532777,33.96,37.73,3.77
ACNASE,Font D 7.000UI com 30 Comprimidos - União Química,7896006218500,31.9,73.53,41.63
GSK RX,Bactroban Pomada 10g - G S K,7896015519834,46.1,53.61,7.51
MYRALIS,Dprev 50.000ui com 4 Cápsulas - Myralis,7898430192258,66.25,77.04,10.79
EUROFARMA RX,Quet XR 200mg com 30 Comprimidos - Eurofarma,7891317029159,357.8,430.78,72.98
SUPERA,Andes 50mg com 60 Comprimidos - Supera,7899420507236,118.07,137.29,19.22
SUPERA,Alevo 500mg com 7 Comprimidos - Supera,7899420501708,93.06,97.96,4.9
SUPERA,"Asea hct 20mg/12,5mg com 30 Comprimidos - Supera",7899420503221,72.23,87.83,15.6
EUROFARMA RX,Quet XR 300mg com 30 Comprimidos - Eurofarma,7891317029197,421.74,510.11,88.37
SUPERA,Tam 250mg com 30 Comprimidos - Supera,7899420507861,42.78,51.0,8.22
ACHE RX,Zirk 500mg com 3 Comprimidos - Ache,7896658026645,20.37,21.44,1.07
GEOLAB GENERICO,Fumarato de Quetiapina 25mg com 30 Comprimidos - Geolab Genérico,7899095243866,13.99,58.67,44.68
LIBBS,"Iziz 2,5mg/1,5mg com 28 Comprimidos - Libbs",7896094209503,40.39,48.36,7.97
BIOLAB AVERT OTC,Fascia Prime com 30 sachês de 13g cada - Biolab,7896112402312,219.05,265.9,46.85
MOMENTA,Quelatus - 30 Comprimidos,7891317029982,123.42,138.9,15.48
ACHE RX,Ekson 100/25mg com 30 Comprimidos - Ache,7896658033582,49.15,54.61,5.46
BIOLAB GENERICO,Ferripolimaltose 100mg com 30 Comprimidos Matigáveis - Bioab Genérico,7896112401667,42.95,61.84,18.89
DIVCOM,Varicell Phyto 500mg - 30 Cápsulas,7898040328535,43.93,66.9,22.97
BIOLAB GENERICO,Ferripolimaltose Gotas 30ml - Biolab Genérico,7896112401674,25.9,35.09,9.19
LUNDBECK,Rexulti 1mg com 30 Comprimidos - Lundbeck,5702150152169,324.22,360.42,36.2
LEGRAND GENERICO,"Atenolol + Clortalidona 50/12,5mg com 30 Comprimidos - Legrand Genérico",7894916144698,11.37,33.19,21.82
BELFAR,Belfactrin F com 10 Comprimidos - Belfar,7897917001694,14.99,21.03,6.04
BELFAR,Plabel com 20 Comprimidos - Belfar,7897917000963,10.99,15.17,4.18
ASEPXIA,Dorflex Uno com 4 Comprimidos - Sanofi,7891058022785,7.75,7.75,0.0
APSEN,Litocit 15mEq com 60 Comprimidos - Apsen,7896637031905,131.27,156.51,25.24
UNIAO QUIMICA GENERICO,"Desogestrel 0,75mg com 28 Comprimidos - União Química Genérico",7896006231103,10.67,31.46,20.79
PHARLAB,Azitromicina 500mg com 5 Comprimidos - Pharlab Genérico,7898216365708,15.49,43.19,27.7
FARMAX,Pasta d água Farmax com Glicerina - 90g,7896902217645,16.49,16.49,0.0
LUNDBECK,Lexapro 10mg com 30 Comprimidos - Lundbeck,5702150142948,250.17,292.09,41.92
ACHE RX,Nautex 8mg com 10 Comprimidos - Ache,7896658034237,57.55,66.92,9.37
TEUTO GENERICO,Nitrato de Miconazol Creme Vaginal 80g - Teuto Genérico,7896112189114,30.11,30.11,0.0
BIOSINTETICA GENERICO,Pantoprazol 40mg com 28 Comprimidos - Biosintetica Genérico,7896181918691,9.9,97.31,87.41
CIMED,Pantoprazol 40mg com 28 Comprimidos - Cimed Genérico,7896523214382,10.62,98.59,87.97
LEGRAND GENERICO,Pantoprazol 40mg com 28 Comprimidos - Legrand Genérico,7894916140393,12.69,93.8,81.11
NOVA QUIMICA GENERICO,Cloridrato de Ciclobenzaprina 10mg com 15 Comprimidos - Nova Química Genérico,7895296033077,7.86,28.0,20.14
VITAMEDIC GENERICO,Nimesulida 50mg com Frasco Gotejador de 15ml - Vitamedic Genérico,7898049797363,6.3,21.88,15.58
GERMED GENERICO,Nimesulida 100 mg com 12 Comprimidos - Germed Genérico,7896004714035,4.99,20.02,15.03
ALMARONI,Xarope da Vovó 250 ml - Bioalive,78984081001860,19.9,19.9,0.0
NEO QUIMICA GENERICO,Minoxidil 50mg Spray 50ml - Neo Química Genérico,7896714274393,38.83,91.1,52.27
NEO QUIMICA GENERICO,"Apixabana 2,5mg com 20 Comprimidos - Neo Química Genérico",7896714291963,25.15,67.2,42.05
NESTLE INDUSTRIAL,Materna com 30 Comprimidos - Nestle,7891045031257,62.1,68.9,6.8
EUROFARMA GENERICO,Axetilcefuroxima Eurofarma Genérico 250mg - 10 comprimidos,7891317018146,51.53,98.73,47.2
ASEPXIA,Enterogermina Plus 5 Flaconetes - 5ml,7891058020286,35.62,47.9,12.28
ACHE OTC,Decongex Plus 12mg + 15mg - 12 Comprimidos,7896658001901,25.58,29.74,4.16
EUROFARMA GENERICO,Ácido Acetilsalicílico 100mg com 60 comprimidos - Eurofarma Genérico,7891317026387,28.28,28.28,0.0
EUROFARMA GENERICO,Ácido Acetilsalicílico 100mg com 30 comprimidos - Eurofarma Genérico,7891317026370,17.0,17.0,0.0
NATCOFARMA,"Apixabana 2,5mg com 20 Comprimidos - Natcofarma Genérico",7898565164243,42.06,82.24,40.18
HERTZ P-2,Calotrat com 5ml - Hertz,7896331706451,19.99,27.51,7.52
CIMED,Valsartana 320mg com 30 Comprimidos - Cimed Genérico,7896523200101,36.9,68.33,31.43
GERMED GENERICO,Naproxeno 550mg 10 comprimidos - Germed Genérico,7896004775128,16.08,25.21,9.13
NEO QUIMICA SIMILAR,Melatonina Neo Química com 90 Cápsulas - Neo Química,7896714290553,15.99,22.9,6.91
CIMED,Nimesulida 100mg com 12 Comprimidos - Cimed Genérico,7896523212685,6.97,22.59,15.62
GEOLAB GENERICO,Tobramicina Colírio 5ml - Geolab Genérico,7899095230330,21.09,21.46,0.37
DELTA,Amoxicilina + Clavulanato de Potássio 457mg 70ml - Delta Genérico,7893454100944,34.79,102.72,67.93
LEGRAND GENERICO,Amoxicilina + Clavulanato de Potássio 457mg 70ml - Legrand Genérico,7894916341318,30.4,63.58,33.18
WALDEMIRO,NERVOCALM 250MG 20CPR,7896677704890,34.9,34.9,0.0
BIOLAB RX,GEL BUCAL 0.2% GENGI BABY 10G,7896112408864,72.99,72.99,0.0
MOKSHA8,RAZAPINA 30MG C/30 CPR,7897595634924,143.81,179.88,36.07
RECKITT BENCKISER RB,LUFTAL MAX 150MG/ML 15ML,7891035003035,61.9,61.9,0.0
DIVCOM,IMECAP HAIR MAX LV90 PG60 CPS,7898040329891,75.49,75.49,0.0
GSK OTC,CENTRUM ESSENCIAL 30CPR,7896009499012,44.9,44.9,0.0
ACNASE,NAUSICALM B6 25MG+5MG SOL GOT 20ML,7896006297918,16.15,16.15,0.0
SUPERA,Multi-Bi 495mg com 5 Cápsulas - Supera,7899420508639,70.9,70.9,0.0
TORRENT,Lisvenx 50mg com 30 Cápsulas - Torrent,7898216367672,400.6,474.36,73.76
MYRALIS,DPrev Imune Kids 75ml - Myralis,7898430194719,55.9,55.9,0.0
TORRENT,Lisvenx 30mg com 30 Cápsulas - Torrent,7898216367658,329.52,391.17,61.65
TORRENT,Lisvenx 70mg com 30 Cápsulas - Torrent,7898216367696,401.33,474.36,73.03
PRATI DONADUZZI GENERICO,Risperidona 2mg com 30 Comprimidos - Prati-Donaduzzi Genérico,7899547530193,18.77,44.5,25.73
PRATI DONADUZZI GENERICO,Prednisona 5mg com 20 Comprimidos - Prati Donaduzzi Genérico,7898148290857,6.31,8.92,2.61
PRATI DONADUZZI GENERICO,Risperidona 1mg com 30 Comprimidos - Prati-Donaduzzi Genérico,7899547530070,15.24,42.87,27.63
VITAMEDIC,Nisulid 100mg com 12 Comprimidos - Vitamedic,7898049797301,9.99,16.53,6.54
EMS GENERICO,Olmesartana Medoxomila 40mg com 30 Comprimidos - EMS Genérico,7896004791111,31.7,51.18,19.48
BIOLAB GENERICO,Fluvoxamina 100mg com 60 Comprimidos - Biolab Genérico,7896112408895,250.0,371.73,121.73
EMS GENERICO,Olmesartana 20mg com 30 Comprimidos - EMS Genérico,7896004791104,33.03,48.25,15.22
BIOLAB GENERICO,Fluvoxamina 50mg com 30 Comprimidos - Biolab Genérico,7896112408871,85.0,107.27,22.27
SIGMA PHARMA RX,Sucrafilm Suspensão Oral 200mg +1 Seringa Dosadora - Sigma Pharma,7894916518819,100.76,117.16,16.4
ACHE RX,Nautex Odg 4mg Granulado com 10 Envelope - Ache,7896658040306,33.95,39.48,5.53
BIOLAB RX,Lide 400mg com 30 Comprimidos - Biolab,7896112408734,80.16,93.21,13.05
RECKITT BENCKISER RB,Naldecon Febre Bebê - 30ml,7898962943335,80.9,80.9,0.0
NEO QUIMICA GENERICO,Desvenlafaxina Succinato 50mg 30 Comprimidos - Neo Química Genérico,7896714274751,29.99,86.31,56.32
EMS GENERICO,Ondansetrona 4mg com 10 Comprimidos - EMS Genérico,7896004790152,10.21,27.58,17.37
CIMED,Nevralgex Dc 30mg com 20 Comprimidos - Cimed,7896523201924,9.99,26.9,16.91
GERMED GENERICO,Pitavastatina Cálcica 2mg com 30 Comprimidos - Germed Genérico,7896004821269,58.93,98.89,39.96
EXELTIS,Regenesis Premium com Lipinova - 120 Cápsulas,7908134200811,232.49,232.49,0.0
BIOLAB GENERICO,Def B 1000mcg com 30 Comprimidos Sublinguais - Biolab Genérico,7896112408666,49.9,49.9,0.0
ZODIAC ADIUM,Xumer 90mg com 7 Comprimidos - Zodiac Adium,7892953207956,48.62,66.89,18.27
LIBBS,Aymee 20mg com 30 Comprimidos - Libbs,7896094211339,219.44,256.32,36.88
BIOLAB GENERICO,"Besilato de Levanlodipino 2,5mg com 30 Comprimidos - Biolab Genérico",7896112408642,43.06,46.53,3.47
MULTILAB,Lozeprel 20mg com 56 Cápsulas - Multilab,7896004785295,9.9,9.9,0.0
LIBBS,Aymee 40mg com 30 Comprimidos - Libbs,7896094211353,241.13,284.81,43.68
BRACE PHARMA RX,Sitglu 100mg com 30 Comprimidos,7896004821436,93.57,107.78,14.21
BIOLAB RX,Ativb 1000mcg com 90 Comprimidos - Biolab,7896112407096,124.5,147.56,23.06
MOMENTA,"Monax 0,5mg/g Spray Nasal com 60 Doses - Momenta",7891317020675,39.29,45.69,6.4
BIOLAB RX,Pressat 5mg com 90 Comprimidos - Biolab,7896112406570,75.12,91.87,16.75
GENOMMA,Proctan 25g com 10 Protetores - Genomma,7898636193622,46.9,46.9,0.0
EUROFARMA RX,Digesan 10mg com 20 Cápsulas - Eurofarma,7891317033163,46.53,54.11,7.58
PHARLAB,Dimesilato de Lisdexanfetamina 70mg com 30 Cápsulas - Pharlab Genérico,7898216367634,276.16,342.09,65.93
EMS GENERICO,Cloridato de Venlafaxina 150mg com 30 Cápsulas - EMS Genérico,7896004728612,51.66,161.48,109.82
PHARLAB,Dimesilato de Lisdexanfetamina 30mg com 30 Cápsulas - Pharlab Genérico,7898216367498,225.8,305.11,79.31
PHARLAB,Dimesilato de Lisdexanfetamina 50mg com 30 Cápsulas - Pharlab Genérico,7898216367610,285.72,370.0,84.28
MOMENTA,Bemove Curcuma com 30 Comprimidos - Momenta,7891317032470,249.9,309.9,60.0
UNIAO QUIMICA GENERICO,"Amoxilina + Clavinato de Potássio 80+11,4mg Pó Suspensão Oral/70ml - União Química Genérico",7896006200826,35.82,90.84,55.02
EMS GENERICO,Cloridrato de Donepezila + Cloridrato de Memantina 10/10mg com 7 Comrpimidos - EMS Genérico,7896004781280,28.0,28.0,0.0
NOVA QUIMICA GENERICO,Cetoconazol + Betametasona Creme 30g - Nova Química Genérico,7895296297042,12.59,38.1,25.51
UNIAO QUIMICA GENERICO,"Amoxicilina + Clavulanato de Potássio 50 + 12,5mg Pó Suspenção Oral/75ml - União Química Genérico",7896006219927,35.95,68.2,32.25
EMS GENERICO,Mirtazapina 30mg com 30 Comprimidos Orodispersíveis - EMS Genérico,7896004758121,74.56,161.88,87.32
SIGMA PHARMA RX,Lyberdia Gotas 40mg - 50ml,7894916518871,479.14,563.69,84.55
SIGMA PHARMA RX,Lyberdia 30mg com 30 Cápsulas,7894916518840,310.34,365.11,54.77
EMS GENERICO,Etoricoxibe 60mg com 14 Comprimidos - EMS Genérico,7896004781389,59.2,78.98,19.78
SIGMA PHARMA RX,Lyberdia 70mg com 30 Cápsulas,7894916518864,376.32,442.73,66.41
EMS GENERICO,Etoricoxibe 90mg com 14 Comprimidos - EMS Genérico,7896004781402,86.84,88.02,1.18
MARJAN,Magnen B6 - 70 Comprimidos,7896226110394,285.9,285.9,0.0
APSEN,Lactosil 4.500 Fcc com 30 Comprimidos - Apsen,7896637034920,38.9,38.9,0.0
APSEN,Verical com 60 Comprimidos - Apsen,7896637035965,166.93,166.93,0.0
CATARINENSE,Camomila Composta Catarinense - 150ml,7896023700637,44.9,44.9,0.0
PHARLAB,Vildagliptina 50mg com 60 Comprimidos - Pharlab Genérico,7898216366606,77.12,139.13,62.01
SIGMA PHARMA RX,Lyberdia 50mg com 30 Cápsulas,7894916518857,376.32,442.73,66.41
APSEN,Labirin XR 32mg com 30 Comprimidos - Apsen,7896637034821,54.31,63.44,9.13
SIGMA PHARMA RX,Miogesic Lis 5mg+125mg com 15 Comprimidos - Sigma Pharma,7896004789507,33.25,37.78,4.53
SIGMA PHARMA RX,Azi 500mg com 5 Comprimidos - Sigma Pharma,7894916502641,41.22,43.39,2.17
CRISTALIA,Etod 400mg com 10 Comprimidos - Cristalia,7896676437119,23.9,23.9,0.0
APSEN,Lenix 50mg com 14 Comprimidos - Apsen,7896637035972,53.79,53.79,0.0
EMS GENERICO,Oxalato de Escitalopram 10mg com 60 Comprimidos - EMS Genérico,7896004731575,41.66,119.95,78.29
EUROFARMA GENERICO,Dicloridrato de Trimetazidina 35mg com 30 Comprimidos - Eurofarma Genérico,7891317028176,43.27,60.12,16.85
EMS GENERICO,Cloridato Tramadol 100mg com 10 Comprimido - EMS Genérico,7896004777184,67.44,78.56,11.12
APSEN,Labirin XR 48mg com 30 Comprimidos - Apsen,7896637034852,72.31,84.76,12.45
CIMED,Lavitan Vitamina Calcio D1000UI  com 60 Comprimidos - Cimed,7897947601024,34.9,34.9,0.0
CIMED,Cimegrip Muc Acetilcisteina 600mg com 10 Comprimidos,7897947601734,16.49,16.49,0.0
EUROFARMA GENERICO,"Cloridato Tramadol + Paracetamol 37,5+325mg com 20 Comprimidos - Eurofarma Genérico",7891317158408,14.21,27.5,13.29
EUROFARMA GENERICO,Cloridato Sibutramina 15mg com 30 Cápsulas - Eurofarma Genérico,7891317025854,56.35,143.33,86.98
EUROFARMA GENERICO,Divalproato de Sodio 500mg com 60 Comprimidos - Eurofarma Genérico,7891317020576,58.64,91.17,32.53
EUROFARMA GENERICO,Cloridato Trazodona 100mg com 30 Comprimidos - Eurofarma Genérico,7891317011260,54.96,74.04,19.08
SANKYO PHARMA,Benicar ODT 40mg com 30 Comprimidos,7897411650817,67.91,84.51,16.6
EUROFARMA GENERICO,Levetiracetam 1000mg com 30 Comprimidos - Eurofarma Genérico,7891317027155,159.4,199.81,40.41
TORRENT,Leps Er 500mg com 60 Comprimidos,8903855090979,91.3,114.0,22.7
EUROFARMA RX,Terza 250mg/ml com 100ml  - Eurofarma,7891317030575,135.95,160.33,24.38
EUROFARMA GENERICO,"Cloridrato de Tramadol + Paracetamol 37,5mg + 325mg com 20 Comprimidos - Eurofarma Genérico",7891317158439,56.22,56.22,0.0
UNIAO QUIMICA GENERICO,Trometamol Cetorolaco 10mg com 20 comprimidos - União Química Genérico,7896006299813,29.23,59.44,30.21
TORRENT,Leps Er 500mg com 30 Comprimidos,8903855090962,55.52,72.48,16.96
SANKYO PHARMA,Benicar ODT 20mg com 30 Comprimidos,7897411650787,64.76,80.36,15.6
TORRENT,Leps ER 250mg com 30 Comprimidos - Torrent,8903855090931,27.71,33.0,5.29
BIOLAB GENERICO,Benfotiamina 150mg com 30 Comprimidos - Biolab Genérico,7896112408581,62.33,67.49,5.16
UNIAO QUIMICA GENERICO,Fosfato Sódico de Prednisolona 3mg com 60ml - União Química Genérico,7896006201779,13.43,22.45,9.02
ACHE RX,Dorene Tabs 75mg com 60 Comprimidos - Ache,7896658048319,66.8,83.87,17.07
GEOLAB,Poltax 50mg com 20 Comprimidos - Geolab,7899095201316,3.99,14.72,10.73
GLOBO GENERICO,Aripiprazol 15mg com 30 Comprimidos - Globo Genérico,7899620916418,91.41,309.17,217.76
GERMED GENERICO,"Fumarato de Bisoprolol 1,25mg com 30 Comprimidos - Germed Genérico",7896004820507,27.89,66.27,38.38
NEO QUIMICA GENERICO,Celecoxibe 200mg Com 10 Cápsulas - Neo Química Genérico,7896714274713,22.91,37.82,14.91
GEOLAB GENERICO,Acetato de Dexametasona 1mg/g Creme com 10g - Geolab Genérico,7899095232372,10.05,11.71,1.66
FEELCLEAN,Brixag Colírio Solução 2mg+5mg/5ml - Legrand,7896004789408,91.26,106.17,14.91
CIMED,"Lavitan Melatonina 0,21mg Gotas 30ml - Sabor Morango",7897947601413,36.9,36.9,0.0
THERASKIN,Aloxidil 50mg Spray com 60ml - Theraskin,7897129304781,73.81,85.83,12.02
FEELCLEAN,"Travamed Solução Oftálmica 2,5ml - Legrand",7896004767642,122.49,141.92,19.43
CIMED,Lavitan Lipomoro Super Fórmula Com 60 Cápsulas - Cimed,7897947601949,69.9,69.9,0.0
GEOLAB GENERICO,Hidrogenotartarato Rivastigmina 28mg com 28 Cápsulas - Geolab Genérico,7899095238374,33.79,195.2,161.41
GERMED GENERICO,Fumarato de Bisoprolol 10mg com 30 Comprimidos - Germed Genérico,7896004820538,43.04,105.8,62.76
RANBAXY,Cloridrato Amiodarona 100mg com 30 Comprimidos - Ranbaxy Genérico,7897076911568,18.16,21.57,3.41
SUPERA,Muskard 35mg com 30 Comprimidos - Supera,7899420507946,45.89,53.36,7.47
TORRENT GENERICO,Levetiracetam 750mg 30 Comprimidos - Torrent Genérico,8903855082035,157.7,165.96,8.26
ACHE RX,Dorene Tabs 150mg com 60 Comprimidos - Ache,7896658048302,188.68,188.68,0.0
EUROFARMA GENERICO,Cloridrato de Fluoxetina 20mg com 30 Cápsulas - Eurofarma Genérico,7891317022587,16.25,49.15,32.9
NEO QUIMICA SIMILAR,Hiscongex 12mg + 15mg Com 12 Comprimidos - Neo Química,7896714295152,20.46,33.23,12.77
UNIAO QUIMICA GENOM,Leduo 60mg com 60 Cápsulas - União Química,7896006297413,166.34,187.99,21.65
UNIAO QUIMICA GENOM,Amclavu BD 80+11.4mg/ml 70ml - União Química,7896006299035,35.8,39.99,4.19
HERTZ P-2,Supra D Gotas 200ui Limão - 30ml,7896331708936,33.55,33.55,0.0
UNIAO QUIMICA GENOM,Leduo 30mg com 60 Cápsulas - União Química,7896006297277,94.99,107.34,12.35
UNIAO QUIMICA GENOM,Leduo 30mg com 30 Cápsulas - União Química,7896006297420,51.55,58.03,6.48
UNIAO QUIMICA GENOM,Respir Kids 120ml + 15 Sachês - União Química,7896006298632,53.49,53.49,0.0
BIOLAB GENERICO,Montelucaste de Sódio 10mg com 30 Comprimidos Mastigáveis - Biolab Genérico,7896112408192,33.67,53.38,19.71
GERMED GENERICO,Trometamol Cetorolaco 10mg com 20 Comprimidos Sublinguais - Germed Genérico,7896004821283,24.9,34.49,9.59
BIOLAB GENERICO,Montelucaste de Sodio 4mg com 30 Comprimidos Mastigáveis - Biolab Genérico,7896112408154,34.05,53.38,19.33
BIOLAB GENERICO,Montelucaste de Sodio 5mg com 30 Comprimidos Mastigáveis - Biolab Genérico,7896112408178,39.01,53.38,14.37
CIMED,Lavitan Cabelos e Unhas Super Formula - com 30 Comprimidos,7897947617445,49.9,49.9,0.0
SIGMA PHARMA RX,Arpejo 15ml - Sigma Pharma,7894916518536,261.4,297.47,36.07
AIRELA,Fortice + Curcuma com 30 Comprimidos - Eurofarma,7891317032494,298.9,298.9,0.0
PHARLAB,Claritromicina 500mg com 7 Comprimidos - Pharlab Genérico,7898216361267,38.22,69.58,31.36
LIBBS,"Glink Met 2,5+ 500 mg com 60 Comprimidos - Libbs",7896094210745,141.61,166.67,25.06
TEUTO GENERICO,Citrato de Sildenafila 50mg 4 comprimidos - Teuto Genérico,7896112104582,3.62,16.18,12.56
MEGALABS,Penetro Spray - 50ml,7896026172356,26.95,29.94,2.99
PHARLAB,Ondansetrona 4mg com 30 Comprimidos - Pharlab Genérico,7898216365579,25.05,61.71,36.66
PHARLAB,Ondansetrona 8mg com 30 Comprimidos - Pharlab Genérico,7898216366071,43.97,123.55,79.58
SERVIER,Diatarcom 60mg MR com 30 Comrpimidos - Servier,7898029552302,38.33,49.41,11.08
CIMED,Lavitan 50+ Mulher Super Fórmula com 60 Comprimidos - Cimed,7897947617315,49.9,49.9,0.0
ASEPXIA,Os-Cal Viamina D 500UI/ Gota com 10ML - Sanofi OTC,7891058005788,102.9,102.9,0.0
ALTHAIA,Bromidrato de Vortioxetina 10mg com 30 Comprimidos - Althaia Genérico,7898687734447,120.91,120.91,0.0
UNIAO QUIMICA GENOM,Hidratante Íntimo Vulvar Belavie Genom - 30g,7896006297291,88.9,88.9,0.0
SERVIER,Diatarcom 30mg MR com 60 Comprimidos - Servier,7898029552258,40.53,49.41,8.88
ALTHAIA,Vildagliptina Metmorfina 50mg 1000mg com 60 Comprimidos - Althaia Genérico,7898687735031,111.25,131.76,20.51
ALTHAIA,Vildagliptina Metmorfina 5mg 850mg com 60 Comprimidos - Althaia Genérico,7898687734928,116.84,131.76,14.92
MEGALABS,Penetro Gel - 30g,7896026173032,19.98,22.2,2.22
BLAU,Anastrozol 1mg com 30 Comprimidos - Blau Genérico,7896014681440,44.29,922.66,878.37
GLOBO GENERICO,Aripiprazol 10mg com 30 Comprimidos - Globo Genérico,7899620916388,60.3,180.34,120.04
APSEN,Atentah 25mg com 30 Cápsulas - Apsen,7896637033961,70.82,80.48,9.66
APSEN,Atentah 40mg com 30 Cápsulas - Apsen,7896637033978,113.33,128.78,15.45
APSEN,Atentah 18mg com 30 Cápsulas - Apsen,7896637033954,51.0,57.96,6.96
APSEN,Atentah 80mg com 30 Cápsulas - Apsen,7896637033992,226.68,257.59,30.91
APSEN,Atentah 60mg com 30 Cápsulas - Apsen,7896637033985,170.02,193.2,23.18
APSEN,Atentah 10mg com 30 Cápsulas - Apsen,7896637033947,28.34,32.2,3.86
HEALTH LABS,Hidra Health Uva com 4 Sachês - Health Labs,7908733200014,19.49,19.49,0.0
LIBBS,"Glink Met 2,5+850mg com 60 Comprimidos - Libbs",7896094210752,138.12,166.38,28.26
LIBBS,"Glink Met 2,5 + 1000mg com 60 Comprimidos - Libbs",7896094210738,142.29,166.38,24.09
MOMENTA,Spark Solução Oral 100mg/ml - 150ml,7891317020460,105.48,121.84,16.36
ABBOTT RX,Movydia 200mg com 10 Cápsulas - Abbott,7891158106002,37.9,42.11,4.21
RANBAXY,Fosfato de Sitagliptina 50mg com 30 Comprimidos - Ranbaxy Genérico,7897076923554,92.19,101.75,9.56
BIOLAB AVERT OTC,Sinustrat Hidratante Nasal Solução Spray - 30ml,7896112403326,44.9,44.9,0.0
CIMED,Rivaroxabana 10mg com 30 Comprimidos - Cimed Genérico,7896523228433,19.73,265.11,245.38
EQUALIV,Vitamina C Equaliv 1g com 30 Comprimidos - Equaliv,7898687737714,28.68,29.9,1.22
EMS,Descon 12 +15mg com 12 Comprimidos - Hypera,7896094930209,17.07,19.85,2.78
BRACE PHARMA RX,"Sigmatriol 0,25mcg com 90 Cápsulas - Brace Pharma",7896004780801,396.79,450.19,53.4
PHARLAB,Aciclovir 200mg com 30 Comprimidos - Pharlab Genérico,7898216366675,30.03,91.41,61.38
PHARLAB,Doxiclin 100mg com 15 Comprimidos - Pharlab,7898216361045,25.09,43.24,18.15
NEO QUIMICA SIMILAR,Hemovirtus Pro Pomada 30g com 10 Aplicações - Neo Química,7896714293356,24.34,44.66,20.32
EMS,Rinosoro Alto Volume 15 Sachês,7896094930407,29.79,34.64,4.85
ACHE RX,Hpmix 40mg com 125ml - Ache,7896658048340,97.14,112.95,15.81
ACHE RX,Prelone 40mg com 7 Comprimidos - Ache,7896658048708,41.06,45.62,4.56
EQUALIV,Vitamina C Equaliv 1g com 10 Comprimidos,7898687737707,11.43,11.9,0.47
EMS,Descon Gotas com 20ml - Hypera,7896094929401,11.89,13.83,1.94
GROSS,Folia PRÉ com 30 Comprimidos - Gross,7892828001634,68.9,68.9,0.0
PHARLAB,DPhar 50.000UI com 4 Cápsulas - Pharlab,7898216362837,25.5,73.35,47.85
PHARLAB,DPhar 50.000UI com 8 Cápsulas - Pharlab,7898216367146,47.23,111.36,64.13
